
@relation cocomonasa

@attribute rely real
@attribute data real
@attribute cplx real
@attribute time real
@attribute stor real
@attribute virt real
@attribute turn real
@attribute acap real
@attribute aexp real
@attribute pcap real
@attribute vexp real
@attribute lexp real
@attribute modp real
@attribute tool real
@attribute sced real
@attribute LOC real
@attribute ACT_EFFORT real

@data
1,0.94,1.15,1,1,0.87,0.87,0.86,0.82,0.7,1,0.95,1,1,1,100,360                          %	instance number:	37
1,0.94,1.15,1,1,0.87,0.87,0.86,0.82,0.86,1,0.95,1,1,1,15,48                                 %	instance number:	38
1,0.94,1.15,1,1.56,0.87,0.87,0.86,0.91,1,1,0.95,1,1,1,32.5,60                              %	instance number:	39
1,0.94,1.15,1,1,0.87,0.87,0.86,0.91,0.86,1,0.95,1,1,1,31.5,60                                    %	instance number:	40
1,0.94,1.15,1,1,0.87,0.87,0.86,0.82,0.86,1,0.95,1,1,1,6,24                                  %	instance number:	41
1,0.94,1.15,1,1,0.87,0.87,0.86,0.82,1,1,1.07,1,1,1,11.3,36                             %	instance number:	42
1,0.94,1.15,1,1,0.87,0.87,0.86,0.82,0.7,1,0.95,1,1,1,20,72                            %	instance number:	43
1,0.94,1.15,1,1,0.87,0.87,0.86,0.82,0.86,1,0.95,1,1,1,20,48                                 %	instance number:	44
1.15,0.94,1.15,1.66,1.56,0.87,1.07,0.86,0.91,0.86,1,0.95,0.91,0.91,1,7.5,72                                       %	instance number:	45
1.15,0.94,1.15,1,1,0.87,0.87,1,1,0.86,1,1,0.91,1.24,1,302,2400                               %	instance number:	46
1.15,1,1.15,1.11,1.06,0.87,1.07,1,0.91,1,1,1,1.1,0.83,1,370,3240                                %	instance number:	47
1.15,1,1.15,1.11,1.06,0.87,1.07,1,0.91,1,1,1,1.1,0.83,1,219,2120                                %	instance number:	48
1.15,1,1.15,1.11,1.06,0.87,1.07,1,0.91,1,1,1,1.1,0.83,1,50,370                                  %	instance number:	49
1.15,1,1.3,1.11,1.06,0.87,1.07,0.86,1,1,0.9,0.95,1.1,0.83,1.04,101,750                                     %	instance number:	50
1,1,1,1,1,0.87,1,0.86,0.82,0.7,1.1,0.95,0.91,1,1,190,420                      %	instance number:	51
1,1,1.15,1,1.06,1,1,0.86,0.91,1,1,0.95,0.91,1,1.04,47.5,252                             %	instance number:	52
1.4,1,1.65,1.11,1.06,0.87,0.87,1,0.91,1,1,1,1.1,0.91,1,21,107                             %	instance number:	53
0.88,1,1,1,1,0.87,0.87,0.86,0.91,0.7,1,0.95,1.1,1.1,1.04,423,2300                                      %	instance number:	54
1.15,1.08,1,1,1,0.87,0.87,1,0.91,0.86,1,0.95,1,1,1,79,400                                 %	instance number:	55
1.15,1.08,0.85,1,1,1,1.07,0.86,0.91,1,1,1,0.91,1,1,284.7,973                             %	instance number:	56
1,1.08,0.85,1,1,1.15,1,0.86,0.91,1,1,1,0.91,0.91,1,282.1,1368                            %	instance number:	57
1,1.08,1.15,1.3,1,1,1.07,0.86,0.91,0.86,1,0.95,1.1,1.1,1.04,78,571.4                                      %	instance number:	58
1,1.08,1.15,1.3,1,1,1.07,0.86,0.91,0.86,1,0.95,1.1,1.1,1.04,11.4,98.8                                     %	instance number:	59
1,1.08,1.15,1.3,1,1,1.07,0.86,0.91,0.86,1,0.95,1.1,1.1,1.04,19.3,155                                      %	instance number:	60
